id;nazwa;cena;opis;status;stan;kategoria;zdjecie;zdjecie_content_type
1;mobile Fish;77969;Savings Account Dam;NIEDOSTEPNY;14286;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
2;Officer;61748;Home Loan Account;DOSTEPNY;52477;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
3;Licensed Savings Account;38246;Planner Canyon;NIEDOSTEPNY;56328;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
4;Bahamian Dollar Investment Account;83319;Salad;DOSTEPNY;42515;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
5;synthesizing Views e-enable;92665;capacitor archive;DOSTEPNY;74732;KOMINKI;../fake-data/blob/hipster.png;image/png
6;Specialist Home Loan Account;27599;scalable;NIEDOSTEPNY;42340;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
7;monitor 1080p Checking Account;92630;deposit Internal;DOSTEPNY;66592;PIECE;../fake-data/blob/hipster.png;image/png
8;Developer;84891;hard drive Robust Networked;DOSTEPNY;11089;GRZEJNIKI;../fake-data/blob/hipster.png;image/png
9;Dynamic;47537;Montana;NIEDOSTEPNY;20306;KOMINKI;../fake-data/blob/hipster.png;image/png
10;Chilean Peso Unidades de fomento;88046;Auto Loan Account modular Refined;NIEDOSTEPNY;88328;PIECE;../fake-data/blob/hipster.png;image/png
